pair,side,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std
EN<->PT,src,1.8669808076292473,0.04152229705625321,1.4497587112529338,0.011973626604387394,0.24781945785097115,0.059626008131764004
EN<->PT,tgt,2.442685404405297,0.21387617578026077,1.8574063114789912,0.1330889808315736,0.021971516989004302,0.0703503333911828
