pair,test_rmse,test_mae,test_r2
EN<->ES,2.1529933560665127,1.6246378756776174,0.0944013916105968
EN<->IT,2.9681896118596924,2.3283357894715295,0.06955143678100417
EN<->PT,3.015381971150383,2.2916188734620184,-0.030795714265903662
