src_lemma,tgt_lemma,src_median_hf_days,tgt_median_hf_days,src_log_days,tgt_log_days,log_gap,abs_log_gap
exit,uscita,64198.0208333,3.9913287,11.069743237743985,1.6077021468642752,9.46204109087971,9.46204109087971
violence,violenza,33049.4328704,1.72637384,10.405789942634303,1.002972462536404,9.4028174800979,9.4028174800979
discussion,discorso,23.2641898,159398.49537037,3.1890015926438497,11.979168879526277,-8.790167286882427,8.790167286882427
attack,attacco,33.3319792,159517.01388889,3.536077258007019,11.97991213457208,-8.443834876565061,8.443834876565061
advantage,vantaggio,33.9336343,159467.24537037,3.5534500986397344,11.97960009279925,-8.426149994159516,8.426149994159516
division,divisione,10204.8784722,1.69298958,9.230719154067229,0.9906519445312224,8.240067209536006,8.240067209536006
player,attore,42.6777662,133402.66203704,3.7768391900190594,11.801134863638897,-8.024295673619838,8.024295673619838
cause,motivo,239018.0555556,80.22135417,12.38429855809351,4.397178194982987,7.987120363110523,7.987120363110523
influence,influenza,27.1950347,77716.36574074,3.339145887973054,11.260834008690757,-7.921688120717704,7.921688120717704
amount,quantità,62.091331,159020.71759259,4.144583375005959,11.976796060507633,-7.832212685501674,7.832212685501674
health,benessere,5661.8229167,1.69215741,8.641677795397086,0.9903428833270735,7.651334912070013,7.651334912070013
favor,favore,1.2340336,4462.55324074,0.8038087408203867,8.40370041857337,-7.599891677752984,7.599891677752984
sample,campione,41074.7800926,25.10928241,10.62317393463261,3.2622908989936468,7.360883035638964,7.360883035638964
sense,senso,110474.6759259,81.1840162,11.612550648340939,4.408960833032603,7.2035898153083355,7.2035898153083355
enemy,nemico,62.7331019,77970.70601852,4.1547040806664475,11.264101296512136,-7.109397215845688,7.109397215845688
blood,sangue,48.7000579,54689.38657407,3.906006098091844,10.909443224775702,-7.003437126683858,7.003437126683858
maintain,tenere,4.4462431,5423.92592593,1.694926031521928,8.598759524108988,-6.903833492587061,6.903833492587061
prize,premio,0.1409397,1030.68402778,0.13185222110479855,6.9389477245287035,-6.807095503423905,6.807095503423905
literature,letteratura,142.3929398,119629.51388889,4.965588692643848,11.692163220808068,-6.726574528164219,6.726574528164219
humor,umorismo,52634.1898148,70.75523148,10.871140182925716,4.273260764594975,6.5978794183307405,6.5978794183307405
risk,pericolo,226.9461806,159473.61111111,5.429109551090255,11.979640010550105,-6.55053045945985,6.55053045945985
activity,attività,14389.9421296,20.05533565,9.574354268871003,3.0471540030683975,6.527200265802605,6.527200265802605
definitely,definitivamente,20.9377778,14165.24305556,3.0882101643937694,9.558617163836855,-6.470406999443085,6.470406999443085
development,crescita,68629.1319444,119.20891204,11.136486958447824,4.78923116278024,6.347255795667584,6.347255795667584
section,divisione,1397.8576389,1.69298958,7.243411210302532,0.9906519445312224,6.252759265771309,6.252759265771309
