pair,task,model,repeat,outer_fold,n_train_outer,n_test_outer,test_rmse,test_mae,test_r2
EN<->ES,predict_src,xgb_cross,1,1,1057,265,1.3787873050552317,0.8943263574421414,0.5534868431996175
EN<->ES,predict_src,xgb_cross,1,2,1057,265,1.1531252653829152,0.8670233898098699,0.6689451578156418
EN<->ES,predict_src,xgb_cross,1,3,1058,264,1.2301825591362119,0.884549959084712,0.5943244797315876
EN<->ES,predict_src,xgb_cross,1,4,1058,264,1.4154298972697623,1.0161938254083356,0.520984858391085
EN<->ES,predict_src,xgb_cross,1,5,1058,264,1.2920708310452047,0.9093726919961203,0.6005794038877417
