pair,task,model,repeat,outer_fold,n_train_outer,n_test_outer,test_rmse,test_mae,test_r2
EN<->PT,predict_tgt,xgb_cross,1,1,910,228,2.4205380666689655,1.7639277557867512,0.0009667961651221857
EN<->PT,predict_tgt,xgb_cross,1,2,910,228,2.261529028178739,1.7781442959069549,0.17124117168283892
EN<->PT,predict_tgt,xgb_cross,1,3,910,228,2.182805062011416,1.5701371548496807,0.08668224519541434
EN<->PT,predict_tgt,xgb_cross,1,4,911,227,2.322788565038867,1.691335732297956,0.08861277175925886
EN<->PT,predict_tgt,xgb_cross,1,5,911,227,2.63636138952755,1.886124217395393,0.06031570416635523
