pair,group_col,group,n,mean_y_asym,pct_src_harder,mean_abs_shap__num__diff_sessions,mean_abs_shap__cat__semantic_field_pert,mean_abs_shap__cat__semantic_field_feeling,mean_abs_shap__cat__semantic_field_time,mean_abs_shap__cat__semantic_field_attribute,mean_abs_shap__num__src_session_count,mean_abs_shap__cat__semantic_field_event,mean_abs_shap__num__tgt_session_count,mean_abs_shap__cat__semantic_field_location,mean_abs_shap__cat__semantic_field_artifact,mean_abs_shap__cat__semantic_field_act,mean_abs_shap__cat__semantic_field_animal,mean_abs_shap__num__concreteness,mean_abs_shap__cat__semantic_field_person,mean_abs_shap__num__frequency
EN<->ES,src_pos,noun,194,-1.1193624989423863,0.27319587628865977,0.6863359212875366,0.5194119811058044,0.4507080912590027,0.4341507852077484,0.3318800926208496,0.3630320429801941,0.27812209725379944,0.25790634751319885,0.22925174236297607,0.22619931399822235,0.18593952059745789,0.18604734539985657,0.1626589298248291,0.16283449530601501,0.15156304836273193
EN<->ES,src_pos,adj,28,-0.8560569674664703,0.17857142857142858,1.0931360721588135,0.4630837142467499,0.47437578439712524,0.36164435744285583,0.5854705572128296,0.11110662668943405,0.30632761120796204,0.21681749820709229,0.22451519966125488,0.15689320862293243,0.20412226021289825,0.2094181776046753,0.19586515426635742,0.13322049379348755,0.11704637855291367
EN<->ES,src_pos,verb,23,-0.1438157979770792,0.43478260869565216,0.7638320922851562,0.5204019546508789,0.4859590232372284,0.395134299993515,0.4757269620895386,0.20726415514945984,0.32460469007492065,0.2015601247549057,0.23921363055706024,0.10224973410367966,0.14488554000854492,0.18442189693450928,0.14978362619876862,0.18974162638187408,0.12545958161354065
EN<->ES,src_pos,adv,10,-0.39756986503121466,0.4,0.8145445585250854,0.5792928338050842,0.5516616702079773,0.4605979323387146,0.264473021030426,0.3196229934692383,0.2930225729942322,0.2582937777042389,0.13410541415214539,0.1751583069562912,0.3062329590320587,0.24028730392456055,0.25538474321365356,0.04614971578121185,0.12449493259191513
EN<->ES,src_pos,prep,6,-0.5683997653444338,0.3333333333333333,0.9429747462272644,0.6056406497955322,0.5225120782852173,0.40156057476997375,0.3674715757369995,0.6113985180854797,0.2863800525665283,0.31227636337280273,0.12707644701004028,0.20570248365402222,0.3618612289428711,0.26228150725364685,0.22409987449645996,0.03575205057859421,0.19851893186569214
EN<->ES,src_pos,det,2,-2.8919460064348277,0.0,1.4903132915496826,0.43349790573120117,0.5516352653503418,0.2703407406806946,0.6054367423057556,0.20819087326526642,0.30986911058425903,0.12669183313846588,0.13846585154533386,0.1623213291168213,0.4006120562553406,0.28051698207855225,0.26869234442710876,0.04251435399055481,0.3789260983467102
EN<->ES,src_pos,conj,1,-3.0617810000472394,0.0,1.5488922595977783,0.47859668731689453,0.5497860312461853,0.3478371500968933,0.5218600034713745,0.47275590896606445,0.28341734409332275,0.28061890602111816,0.18476739525794983,0.17914558947086334,0.3938557803630829,0.2984462082386017,0.26340892910957336,0.003975591156631708,0.26110556721687317
EN<->ES,src_pos,pron,1,1.1535078276311292,1.0,0.9670757055282593,0.7103273868560791,0.4799198806285858,0.5800899863243103,0.32374852895736694,0.3321862816810608,0.4274596571922302,0.22579601407051086,0.2402922362089157,0.26567187905311584,0.07690264284610748,0.22019602358341217,0.004003085661679506,0.19680415093898773,0.08272021263837814
