pair,test_rmse,test_mae,test_r2
EN<->ES,1.8271545193440146,1.3164883590122454,0.34776977570454337
EN<->IT,2.7412085395618107,1.995949435131797,0.20641538411212668
EN<->PT,2.938046335667318,2.191279866594885,0.021399985349496276
