pair,group_col,group,n,mean_y_asym,pct_src_harder,mean_abs_shap__cat__semantic_field_contact,mean_abs_shap__cat__semantic_field_possession,mean_abs_shap__cat__semantic_field_attribute,mean_abs_shap__cat__tgt_pos_det,mean_abs_shap__cat__semantic_field_feeling,mean_abs_shap__num__tgt_session_count,mean_abs_shap__num__frequency,mean_abs_shap__cat__src_pos_conj,mean_abs_shap__cat__semantic_field_time,mean_abs_shap__cat__semantic_field_food,mean_abs_shap__cat__semantic_field_act,mean_abs_shap__cat__src_pos_det,mean_abs_shap__cat__semantic_field_location,mean_abs_shap__num__diff_sessions,mean_abs_shap__cat__semantic_field_group
EN<->IT,src_pos,noun,124,0.6639474225673553,0.6209677419354839,0.6715995073318481,0.5956542491912842,0.5017561316490173,0.4699100852012634,0.4249390661716461,0.40577998757362366,0.3444528579711914,0.3239670991897583,0.2879113554954529,0.27004891633987427,0.2826125919818878,0.262664258480072,0.2575128972530365,0.230354443192482,0.24098069965839386
EN<->IT,src_pos,adj,21,1.2024736822288833,0.7619047619047619,0.6433440446853638,0.5875074863433838,0.5777072906494141,0.49274304509162903,0.5024178624153137,0.3226134181022644,0.5026549100875854,0.3239620625972748,0.30261796712875366,0.2817324995994568,0.3085941970348358,0.21695184707641602,0.29693445563316345,0.2121826857328415,0.2194025218486786
EN<->IT,src_pos,verb,20,0.06866224396564906,0.65,0.6939531564712524,0.6012548208236694,0.42238086462020874,0.45627808570861816,0.5101051330566406,0.26896992325782776,0.26527461409568787,0.2683284878730774,0.27789050340652466,0.2832675874233246,0.19159217178821564,0.2217053920030594,0.2074197232723236,0.20994603633880615,0.15538710355758667
EN<->IT,src_pos,adv,12,1.6296421790944058,0.9166666666666666,0.6464307904243469,0.5601043105125427,0.3256135582923889,0.5108683109283447,0.5110837817192078,0.3091299831867218,0.35287976264953613,0.2814430594444275,0.2921158969402313,0.3076222836971283,0.215078666806221,0.29002827405929565,0.20832698047161102,0.20937193930149078,0.1377529501914978
EN<->IT,src_pos,conj,5,2.952555040531768,1.0,0.6839576363563538,0.5503443479537964,0.2967282235622406,0.42429643869400024,0.6881766319274902,0.15077383816242218,0.2762451469898224,0.2650136351585388,0.24028103053569794,0.29406261444091797,0.11159858852624893,0.24320857226848602,0.10564856231212616,0.16616970300674438,0.1271239072084427
EN<->IT,src_pos,prep,4,0.6398442200075825,0.75,0.6358650922775269,0.4766239821910858,0.252183198928833,0.3395208716392517,0.6531283259391785,0.11970898509025574,0.37397289276123047,0.21431097388267517,0.21480362117290497,0.27203255891799927,0.1181633472442627,0.21001867949962616,0.08492064476013184,0.3231605589389801,0.1273384392261505
EN<->IT,src_pos,det,3,0.738279494784884,0.6666666666666666,0.6082703471183777,0.5914233326911926,0.47100380063056946,0.49696147441864014,0.6540669798851013,0.4156475365161896,0.48487594723701477,0.34970250725746155,0.3000204861164093,0.2569856643676758,0.1464000791311264,0.2545200288295746,0.24476665258407593,0.22195549309253693,0.17290449142456055
EN<->IT,src_pos,pron,2,-3.29297475531191,0.0,0.6309797763824463,0.5939159393310547,0.5897378325462341,0.3473242521286011,0.7895969748497009,0.1864471733570099,0.27732327580451965,0.18293564021587372,0.2340305894613266,0.2745670676231384,0.20918746292591095,0.1908399611711502,0.1391991227865219,0.4245091676712036,0.044581059366464615
