pair,task,model,repeat,outer_fold,n_train_outer,n_test_outer,test_rmse,test_mae,test_r2
EN<->PT,predict_src,xgb_cross,1,1,910,228,1.5482929179096403,1.1581201029630417,0.46048829912765465
EN<->PT,predict_src,xgb_cross,1,2,910,228,1.5000201091462526,1.110512482166747,0.539547564041382
EN<->PT,predict_src,xgb_cross,1,3,910,228,1.4484869661117186,1.1190064694612631,0.5307336206930697
EN<->PT,predict_src,xgb_cross,1,4,911,227,1.5334499953042078,1.1409823716879794,0.4805875509315861
EN<->PT,predict_src,xgb_cross,1,5,911,227,1.4641136761802909,1.1414092851065567,0.5654629024543283
