pair,task,model,repeat,outer_fold,n_train_outer,n_test_outer,test_rmse,test_mae,test_r2
EN<->ES,predict_tgt,xgb_cross,1,1,1057,265,1.360179998996819,0.8618434938037978,0.21862754447227029
EN<->ES,predict_tgt,xgb_cross,1,2,1057,265,1.3210953504969314,0.8493127537834511,0.30926681286344293
EN<->ES,predict_tgt,xgb_cross,1,3,1058,264,1.2833004218472968,0.8344573983422399,0.23882845206615588
EN<->ES,predict_tgt,xgb_cross,1,4,1058,264,1.201196274788327,0.7924820538608319,0.34999696265005054
EN<->ES,predict_tgt,xgb_cross,1,5,1058,264,1.234555410694576,0.8198689644298653,0.4252118365358345
