pair,task,model,repeat,outer_fold,n_train_outer,n_test_outer,test_rmse,test_mae,test_r2
EN<->IT,predict_tgt,xgb_cross,1,1,764,191,1.8500991354652905,1.4523377008093914,0.3372502221085193
EN<->IT,predict_tgt,xgb_cross,1,2,764,191,1.7527988857033807,1.2948659764698514,0.27903470849019285
EN<->IT,predict_tgt,xgb_cross,1,3,764,191,1.9021312941704616,1.3649926867013162,0.25390793688725044
EN<->IT,predict_tgt,xgb_cross,1,4,764,191,1.7351298607179888,1.2627628966893552,0.3652028285903598
EN<->IT,predict_tgt,xgb_cross,1,5,764,191,1.6381225553934515,1.251827752852008,0.36663067516247716
