pair,task,model,repeat,outer_fold,n_train_outer,n_test_outer,test_rmse,test_mae,test_r2
EN<->IT,predict_src,xgb_cross,1,1,764,191,1.8390358701872842,1.349106445503648,0.20694546211779496
EN<->IT,predict_src,xgb_cross,1,2,764,191,1.8143319419588517,1.3724428795484964,0.21824312519697242
EN<->IT,predict_src,xgb_cross,1,3,764,191,1.8049597962574702,1.3087392719372672,0.19934348800434032
EN<->IT,predict_src,xgb_cross,1,4,764,191,1.6197923886965875,1.2170764192625525,0.3032710800023328
EN<->IT,predict_src,xgb_cross,1,5,764,191,1.8923905059627506,1.3733454490501837,0.1584686188604122
