pair,task,model,n_repeats,outer_k,inner_k,n_trials,test_rmse_mean,test_rmse_std,test_mae_mean,test_mae_std,test_r2_mean,test_r2_std
EN<->ES,predict_src,xgb_cross,1,5,5,50,1.293919171577865,0.10707024877154035,0.9142932447482359,0.05900364182595482,0.5876641486051348,0.05574939962958997
EN<->ES,predict_tgt,xgb_cross,1,5,5,50,1.28006549136479,0.06403860010717538,0.8315929328440372,0.026946270360250695,0.30838632171755076,0.08407638928236151
EN<->IT,predict_src,xgb_cross,1,5,5,50,1.7941021006125886,0.10318753071267957,1.3241420930604295,0.06534037900348277,0.21725435483637057,0.053110003410599585
EN<->IT,predict_tgt,xgb_cross,1,5,5,50,1.775656346290115,0.10322069133321213,1.3253574027043844,0.08359031120418271,0.32040527424775994,0.05138282889345142
EN<->PT,predict_src,xgb_cross,1,5,5,50,1.4988727329304221,0.04297143165201161,1.1340061422771175,0.019117398165497363,0.5153639874496042,0.04345029917376601
EN<->PT,predict_tgt,xgb_cross,1,5,5,50,2.3648044222851077,0.17493165236901426,1.7379338312473471,0.1168118824901914,0.08156373779379791,0.06137034316288088
