pair,group_col,group,n,mean_y_asym,pct_src_harder,mean_abs_shap__cat__semantic_field_feeling,mean_abs_shap__cat__semantic_field_person,mean_abs_shap__cat__semantic_field_body,mean_abs_shap__num__src_session_count,mean_abs_shap__cat__semantic_field_change,mean_abs_shap__cat__semantic_field_quantity,mean_abs_shap__cat__semantic_field_object,mean_abs_shap__cat__semantic_field_state,mean_abs_shap__cat__semantic_field_shape,mean_abs_shap__num__tgt_session_count,mean_abs_shap__cat__tgt_pos_adv,mean_abs_shap__cat__semantic_field_time,mean_abs_shap__cat__semantic_field_location,mean_abs_shap__cat__semantic_field_substance,mean_abs_shap__cat__semantic_field_cognition
EN<->PT,semantic_field,all,32,-0.39972914012898236,0.34375,1.3355462551116943,0.5865111351013184,0.4916345775127411,0.37542328238487244,0.5097260475158691,0.5004635453224182,0.649890124797821,0.2911492586135864,0.45821166038513184,0.3838788866996765,0.37877798080444336,0.4584951400756836,0.32845234870910645,0.347983181476593,0.2538350224494934
EN<->PT,semantic_field,artifact,28,0.5221412029238301,0.6428571428571429,1.3437747955322266,0.8389834761619568,0.8573406338691711,0.3731997609138489,0.49453142285346985,0.5285900831222534,0.5278521776199341,0.5615875720977783,0.47562718391418457,0.48894625902175903,0.5086614489555359,0.3539813458919525,0.41794171929359436,0.3782471716403961,0.44671931862831116
EN<->PT,semantic_field,cognition,18,0.831972486706085,0.6111111111111112,1.421846628189087,0.6131495833396912,0.659868597984314,1.0580451488494873,0.9132004976272583,0.6969321370124817,0.39388149976730347,0.42745551466941833,0.5069403648376465,0.4172278940677643,0.3829062283039093,0.42704546451568604,0.37862053513526917,0.4266164004802704,0.5107446908950806
EN<->PT,semantic_field,communication,18,0.5128745656395428,0.5555555555555556,1.4022170305252075,0.7163963913917542,0.716396689414978,0.7648302912712097,0.6867578029632568,0.6457098126411438,0.47074878215789795,0.6195482015609741,0.5041792392730713,0.4764312505722046,0.4599555730819702,0.37359777092933655,0.465828001499176,0.4119250476360321,0.5109840631484985
EN<->PT,semantic_field,act,13,1.0174568545052665,0.6153846153846154,1.381234049797058,0.712880551815033,0.6319058537483215,1.256511926651001,0.7064485549926758,0.5751342177391052,0.4751828908920288,0.4437631070613861,0.5117799043655396,0.3665529787540436,0.38309043645858765,0.4279590845108032,0.37920984625816345,0.4041626751422882,0.3991120457649231
EN<->PT,semantic_field,time,11,-0.35636394425236717,0.2727272727272727,1.34772789478302,0.7690314650535583,0.5342687368392944,0.23214392364025116,0.5033801794052124,0.47690436244010925,0.5132600665092468,0.5472376346588135,0.4622730016708374,0.4598545730113983,0.4764259159564972,0.4214283227920532,0.44090020656585693,0.3848420977592468,0.3146172761917114
EN<->PT,semantic_field,person,11,0.2627456607774365,0.45454545454545453,1.3981627225875854,0.5144172310829163,0.5638074278831482,0.6878736019134521,0.4547189772129059,0.48943185806274414,0.4750171899795532,0.47406527400016785,0.47253140807151794,0.46634623408317566,0.4339280426502228,0.35601869225502014,0.3970284163951874,0.36783263087272644,0.4120497405529022
EN<->PT,semantic_field,attribute,10,-1.2258875149419974,0.3,1.3974045515060425,0.7997453808784485,0.7001569867134094,0.9994542002677917,0.7432736158370972,0.6787776350975037,0.506900429725647,0.7094032168388367,0.5110148787498474,0.4501577317714691,0.42549338936805725,0.37177902460098267,0.42333731055259705,0.4313982129096985,0.2924347221851349
EN<->PT,semantic_field,group,8,1.0226177375792047,0.625,1.3856068849563599,0.9521828293800354,0.6861597299575806,0.5458707213401794,0.5440889596939087,0.6190009117126465,0.4687806963920593,0.598420262336731,0.5006577968597412,0.48816409707069397,0.4430586099624634,0.4098495543003082,0.5160086154937744,0.43537771701812744,0.2749261260032654
EN<->PT,semantic_field,location,7,0.829594132770665,0.42857142857142855,1.3564924001693726,0.990373432636261,0.7118371725082397,0.590717613697052,0.619611918926239,0.6453337073326111,0.5615808367729187,0.5542253851890564,0.5119227170944214,0.6151736378669739,0.3561679720878601,0.4840666353702545,0.2390228509902954,0.39646121859550476,0.4570176303386688
EN<->PT,semantic_field,stative,6,0.8284710047476588,0.8333333333333334,1.3139058351516724,0.8101892471313477,0.5951339602470398,0.30046597123146057,0.4736546576023102,0.6667343974113464,0.6249076724052429,0.2993534803390503,0.47667932510375977,0.5702642798423767,0.4125194847583771,0.46776556968688965,0.4933741092681885,0.4040844440460205,0.3974675238132477
EN<->PT,semantic_field,state,5,4.622918503536928,1.0,1.4771957397460938,0.5117632150650024,0.6745411157608032,1.692167043685913,0.9726398587226868,0.6192024946212769,0.3754103183746338,0.5239637494087219,0.5536523461341858,0.5084174275398254,0.4191978871822357,0.44486212730407715,0.43847233057022095,0.425114244222641,0.5559808015823364
EN<->PT,semantic_field,possession,5,0.49197183829387736,0.4,1.2787632942199707,0.5811148881912231,0.6001572608947754,0.5900344848632812,0.6252099275588989,0.5945760607719421,0.7947801947593689,0.5546008348464966,0.452564537525177,0.1603599488735199,0.3797861635684967,0.4323468804359436,0.4009006917476654,0.41370072960853577,0.27330338954925537
EN<->PT,semantic_field,motion,5,-1.727608582504154,0.4,1.3233892917633057,0.6732305288314819,0.6596676111221313,0.5764408111572266,0.4332457184791565,0.754101037979126,0.5462897419929504,0.4846314787864685,0.4713647961616516,0.5852338075637817,0.42969149351119995,0.43094444274902344,0.47456222772598267,0.4300028383731842,0.3602985739707947
EN<->PT,semantic_field,food,5,-0.38010103908745607,0.4,1.3251792192459106,0.4715792238712311,0.5351992249488831,0.24370262026786804,0.35056960582733154,0.39090219140052795,0.5487437844276428,0.3595018982887268,0.43973177671432495,0.6881636381149292,0.4863680303096771,0.35022473335266113,0.48567718267440796,0.2692115008831024,0.5679792165756226
EN<->PT,semantic_field,Tops,4,0.13993367134003976,0.5,1.3681272268295288,0.678646981716156,0.7606316208839417,0.18552269041538239,0.6243600249290466,0.5849149227142334,0.46560806035995483,0.32637789845466614,0.4862558841705322,0.6414225101470947,0.4565904140472412,0.4652376174926758,0.5438723564147949,0.4227968156337738,0.41627585887908936
EN<->PT,semantic_field,object,4,1.0424270222129006,1.0,1.3399341106414795,1.0685817003250122,0.9057961702346802,0.253472238779068,0.7441167235374451,0.5868032574653625,0.7974212169647217,0.8254603743553162,0.4997790455818176,0.5778783559799194,0.505097508430481,0.4766903817653656,0.24746689200401306,0.3735661506652832,0.4714902639389038
EN<->PT,semantic_field,body,4,-1.4311162361828267,0.5,1.3171048164367676,0.6262272596359253,0.6925258040428162,0.55389004945755,0.5302388072013855,0.5335162878036499,0.6735893487930298,0.7399158477783203,0.4281172752380371,0.29355305433273315,0.4057903289794922,0.4320216774940491,0.24683667719364166,0.35845088958740234,0.30154383182525635
EN<->PT,semantic_field,social,4,-0.5195791825151822,0.5,1.3139827251434326,0.3980967700481415,0.525510311126709,0.8051863312721252,0.4537397027015686,0.6030488014221191,0.5668044686317444,0.20774395763874054,0.46999335289001465,0.3818219304084778,0.31008774042129517,0.44846662878990173,0.2720337212085724,0.3748987317085266,0.24238039553165436
EN<->PT,semantic_field,quantity,4,0.8354249872514226,0.5,1.3218656778335571,0.963993489742279,0.7246446013450623,0.4352237582206726,0.618844747543335,0.6167964935302734,0.7555047869682312,0.31131893396377563,0.49638915061950684,0.5646890997886658,0.38836461305618286,0.49050912261009216,0.42885902523994446,0.3625602126121521,0.28218334913253784
