pair,group_col,group,n,mean_y_asym,pct_src_harder,mean_abs_shap__num__diff_sessions,mean_abs_shap__cat__semantic_field_pert,mean_abs_shap__cat__semantic_field_feeling,mean_abs_shap__cat__semantic_field_time,mean_abs_shap__cat__semantic_field_attribute,mean_abs_shap__num__src_session_count,mean_abs_shap__cat__semantic_field_event,mean_abs_shap__num__tgt_session_count,mean_abs_shap__cat__semantic_field_location,mean_abs_shap__cat__semantic_field_artifact,mean_abs_shap__cat__semantic_field_act,mean_abs_shap__cat__semantic_field_animal,mean_abs_shap__num__concreteness,mean_abs_shap__cat__semantic_field_person,mean_abs_shap__num__frequency
EN<->ES,semantic_field,all,41,-0.8640871251459977,0.21951219512195122,1.048410415649414,0.4970824122428894,0.5001147985458374,0.3865512013435364,0.4801729619503021,0.21331961452960968,0.3038129210472107,0.2439330667257309,0.19226489961147308,0.1684401035308838,0.2538664937019348,0.2255827933549881,0.21882064640522003,0.09083241969347,0.14513662457466125
EN<->ES,semantic_field,artifact,30,-1.684461926976988,0.23333333333333334,0.6419728994369507,0.6318696737289429,0.4890916049480438,0.4663447439670563,0.38814106583595276,0.3017212748527527,0.27029454708099365,0.27906566858291626,0.19383616745471954,0.14544646441936493,0.2431650459766388,0.1660345494747162,0.1410829722881317,0.1370566189289093,0.17274154722690582
EN<->ES,semantic_field,act,26,-1.144341499473676,0.19230769230769232,0.7961539626121521,0.4261513948440552,0.42493173480033875,0.37487807869911194,0.32958126068115234,0.4987509548664093,0.2617087662220001,0.20809151232242584,0.2239084243774414,0.2745971083641052,0.17404058575630188,0.19739635288715363,0.13766370713710785,0.17276054620742798,0.15885180234909058
EN<->ES,semantic_field,communication,23,-0.5927046231377233,0.2608695652173913,0.6603797674179077,0.4603032171726227,0.40989938378334045,0.39436855912208557,0.39431580901145935,0.4156973958015442,0.2640268802642822,0.342329204082489,0.24253356456756592,0.22409571707248688,0.13422100245952606,0.16576926410198212,0.16177423298358917,0.20700746774673462,0.1390063315629959
EN<->ES,semantic_field,cognition,17,0.18132061494081442,0.4117647058823529,0.7189723253250122,0.4898239076137543,0.42891982197761536,0.48846015334129333,0.17488566040992737,0.5885261297225952,0.27011391520500183,0.19998499751091003,0.24373550713062286,0.2822219729423523,0.18989348411560059,0.17570412158966064,0.14881151914596558,0.12385915219783783,0.1221698448061943
EN<->ES,semantic_field,person,15,-3.0418645594699956,0.2,0.7916443943977356,0.536211371421814,0.4732850193977356,0.3905366361141205,0.42090994119644165,0.38632145524024963,0.26094087958335876,0.23091360926628113,0.23543067276477814,0.19441133737564087,0.18102958798408508,0.1937476098537445,0.21679021418094635,0.1831706315279007,0.14051249623298645
EN<->ES,semantic_field,attribute,13,-1.792948940998669,0.38461538461538464,0.7969946265220642,0.405981183052063,0.44589880108833313,0.32144370675086975,0.5608915090560913,0.2099132537841797,0.33394113183021545,0.1700601875782013,0.25712692737579346,0.2730550467967987,0.10753484070301056,0.19260525703430176,0.18898779153823853,0.15451042354106903,0.17651134729385376
EN<->ES,semantic_field,location,11,1.0803065868377237,0.6363636363636364,0.5592020153999329,0.6307986974716187,0.4579782485961914,0.4295492470264435,0.2589825391769409,0.2792966067790985,0.2765524387359619,0.2882232964038849,0.24022015929222107,0.22382710874080658,0.2765944302082062,0.2180653065443039,0.1350686103105545,0.18422530591487885,0.16911019384860992
EN<->ES,semantic_field,group,10,-1.0036313202745402,0.2,0.5933184027671814,0.5482625961303711,0.45264512300491333,0.41005200147628784,0.2224740982055664,0.21835407614707947,0.2701248526573181,0.27024132013320923,0.21193313598632812,0.23922395706176758,0.21564003825187683,0.21127577126026154,0.1776503622531891,0.180432990193367,0.11793575435876846
EN<->ES,semantic_field,time,10,-1.5253784013242548,0.1,0.5996423959732056,0.5383087992668152,0.4887367784976959,0.5568575263023376,0.233295276761055,0.23657801747322083,0.33752503991127014,0.23350688815116882,0.23164713382720947,0.19284915924072266,0.07704837620258331,0.18904776871204376,0.16412778198719025,0.19486232101917267,0.10194548219442368
